This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Stock quote and option quote for QQQ on 8/17/26 11:58:10

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
731.07,Q,0,734.32,Q,734.38,P,120 x 480,"246,749",0,0,0

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,0.45%,6.524,.8135,Q,6/22/26,748.65,555.60,"669,450,000",1.23

17 AUG 26  (0)  100 (Weeklys)
,,LAST,LX,Net Chng,Gamma,Delta,Open.Int,Volume,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,Gamma,Delta,Open.Int,Volume,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,776,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,777,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,778,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,779,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,.01,X,0,.00,.00,230,<empty>,0,T,.02,M,17 AUG 26,780,47.49,M,51.09,N,0, ,0,.01,-.83,0,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,781,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,782,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,783,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,784,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,.01,X,0,.00,.00,83,<empty>,0,T,.02,M,17 AUG 26,785,52.41,W,56.09,N,0, ,0,.00,-.84,0,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,786,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,787,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,788,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,789,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,.03,M,0,.00,.00,76,<empty>,0,T,.02,I,17 AUG 26,790,57.49,M,61.09,N,0, ,0,.00,-.85,0,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,791,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,792,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,793,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,794,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,.02,T,0,.00,.00,16,<empty>,0,T,.02,M,17 AUG 26,795,62.41,W,66.08,N,0, ,0,.00,-.85,0,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,796,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,797,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,798,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,799,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,.02,M,0,.00,.00,102,<empty>,0,X,.01,D,17 AUG 26,800,67.49,M,71.08,N,0, ,0,.00,-.86,0,<empty>,,
,,.06,H,0,.00,.00,23,<empty>,0,T,.02,M,17 AUG 26,805,72.41,W,76.08,N,0, ,0,.00,-.86,0,<empty>,,
,,.02,X,0,.00,.00,1,<empty>,0,T,.02,I,17 AUG 26,810,77.44,W,81.08,N,0, ,0,.00,-.87,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,T,.02,C,17 AUG 26,815,82.44,W,86.08,N,0, ,0,.00,-.87,0,<empty>,,
,,.03,D,0,.00,.00,2,<empty>,0,T,.02,M,17 AUG 26,820,87.44,W,91.08,N,0, ,0,.00,-.87,0,<empty>,,
,,.12,M,0,.00,.00,1,<empty>,0,T,.02,M,17 AUG 26,825,92.45,W,96.08,N,0, ,0,.00,-.88,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,T,.01,Q,17 AUG 26,830,97.45,W,101.08,N,0, ,0,.00,-.88,0,<empty>,,
,,.10,U,0,.00,.00,4,<empty>,0,X,.01,D,17 AUG 26,835,102.45,W,106.08,N,0, ,0,.00,-.88,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,T,.01,Q,17 AUG 26,840,107.45,W,111.08,N,0, ,0,.00,-.88,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,T,.01,Q,17 AUG 26,845,112.45,W,116.08,N,0, ,0,.00,-.88,0,<empty>,,
,,.03,E,0,.00,.00,2,<empty>,0,Q,.01,D,17 AUG 26,850,117.49,M,121.08,N,0, ,0,.00,-.88,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,Q,.01,D,17 AUG 26,855,122.45,W,126.08,N,0, ,0,.00,-.89,0,<empty>,,
,,.01,C,0,.00,.00,0,<empty>,0,A,.01,H,17 AUG 26,860,127.49,M,131.08,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,Q,.01,H,17 AUG 26,865,132.49,M,136.08,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,T,.01,Q,17 AUG 26,870,137.45,W,141.08,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,T,.01,Q,17 AUG 26,875,142.49,M,146.08,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,T,.01,Q,17 AUG 26,880,147.45,W,151.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,T,.01,Q,17 AUG 26,885,152.49,M,156.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,T,.01,Q,17 AUG 26,890,157.48,N,161.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,Q,17 AUG 26,895,162.49,M,166.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,Q,17 AUG 26,900,167.49,M,171.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,Q,17 AUG 26,905,172.45,W,176.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,Z,17 AUG 26,910,177.49,M,181.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,T,17 AUG 26,915,182.49,M,186.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,T,17 AUG 26,920,187.49,M,191.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,H,17 AUG 26,925,192.45,W,196.09,N,0, ,0,.00,-.89,0,<empty>,,
,,.04,H,0,.00,.00,1,<empty>,0,N,.01,D,17 AUG 26,930,197.49,M,201.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,T,17 AUG 26,935,202.49,M,206.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,T,17 AUG 26,940,207.45,W,211.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,T,17 AUG 26,945,212.49,M,216.09,N,0, ,0,.00,-.89,0,<empty>,,
,,0, ,0,.00,.00,0,<empty>,0,N,.01,H,17 AUG 26,950,217.49,M,221.09,N,0, ,0,.00,-.89,0,<empty>,,

18 AUG 26  (1)  100 (Weeklys)

19 AUG 26  (2)  100 (Weeklys)

20 AUG 26  (3)  100 (Weeklys)

21 AUG 26  (4)  100

24 AUG 26  (7)  100 (Weeklys)

25 AUG 26  (8)  100 (Weeklys)

26 AUG 26  (9)  100 (Weeklys)

27 AUG 26  (10)  100 (Weeklys)

28 AUG 26  (11)  100 (Weeklys)

31 AUG 26  (14)  100 (Weeklys)

4 SEP 26  (18)  100 (Weeklys)

11 SEP 26  (25)  100 (Weeklys)

18 SEP 26  (32)  100

25 SEP 26  (39)  100 (Weeklys)

30 SEP 26  (44)  100 (Quarterlys)

2 OCT 26  (46)  100 (Weeklys)

16 OCT 26  (60)  100

30 OCT 26  (74)  100 (Weeklys)

20 NOV 26  (95)  100

18 DEC 26  (123)  100

31 DEC 26  (136)  100 (Quarterlys)

15 JAN 27  (151)  100

19 FEB 27  (186)  100

19 MAR 27  (214)  100

31 MAR 27  (226)  100 (Quarterlys)

17 JUN 27  (304)  100 (Weeklys)

30 JUN 27  (317)  100 (Quarterlys)

17 SEP 27  (396)  100

17 DEC 27  (487)  100

21 JAN 28  (522)  100

16 JUN 28  (669)  100

15 DEC 28  (851)  100
