This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Stock quote and option quote for QQQ on 8/17/26 11:58:10

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
731.07,Q,0,734.32,Q,734.38,P,120 x 480,"246,749",0,0,0

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,0.45%,6.524,.8135,Q,6/22/26,748.65,555.60,"669,450,000",1.23

17 AUG 26  (0)  100 (Weeklys)
,,LAST,LX,Net Chng,Gamma,Delta,Open.Int,Volume,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,Gamma,Delta,Open.Int,Volume,,
,,59.86,X,0,.00,1.00,3,<empty>,73.95,D,77.57,Z,17 AUG 26,655,.01,H,.02,H,.01,A,0,.00,.00,430,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,72.95,D,76.56,N,17 AUG 26,656,.01,H,.02,D,.02,I,0,.00,.00,104,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,71.95,D,75.54,C,17 AUG 26,657,.01,H,.02,W,.02,X,0,.00,.00,218,<empty>,,
,,73.48,I,0,.00,1.00,1,<empty>,70.95,D,74.55,P,17 AUG 26,658,.01,H,.02,W,.02,I,0,.00,.00,153,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,69.95,D,73.56,C,17 AUG 26,659,.01,H,.02,D,.02,B,0,.00,.00,114,<empty>,,
,,73.36,W,0,.00,1.00,17,<empty>,68.95,D,72.56,C,17 AUG 26,660,.01,H,.02,D,.02,B,0,.00,.00,"6,168",<empty>,,
,,0, ,0,.00,1.00,0,<empty>,67.95,D,71.56,N,17 AUG 26,661,.01,H,.02,D,.03,I,0,.00,.00,124,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,66.95,D,70.54,U,17 AUG 26,662,.01,H,.02,W,.02,W,0,.00,.00,132,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,66.00,N,69.63,W,17 AUG 26,663,.01,H,.02,W,.02,W,0,.00,.00,41,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,64.95,D,68.55,Z,17 AUG 26,664,.01,H,.02,W,.02,W,0,.00,.00,82,<empty>,,
,,64.28,M,0,.00,1.00,2,<empty>,63.95,D,67.55,P,17 AUG 26,665,.01,H,.02,W,.02,W,0,.00,.00,243,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,62.95,D,66.55,P,17 AUG 26,666,.01,H,.02,D,.03,C,0,.00,.00,203,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,61.96,D,65.55,C,17 AUG 26,667,.01,Q,.02,W,.02,C,0,.00,.00,49,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,60.96,D,64.55,P,17 AUG 26,668,.01,P,.03,I,.02,T,0,.00,.00,27,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,59.96,D,63.55,A,17 AUG 26,669,.01,Z,.03,M,.14,C,0,.00,.00,115,<empty>,,
,,60.62,J,0,.00,1.00,17,<empty>,58.96,D,62.55,C,17 AUG 26,670,.01,P,.03,I,.02,D,0,.00,.00,"7,653",<empty>,,
,,59.85,C,0,.00,1.00,3,<empty>,57.96,D,61.55,P,17 AUG 26,671,.01,P,.03,M,.02,C,0,.00,.00,47,<empty>,,
,,51.23,C,0,.00,1.00,2,<empty>,56.96,D,63.66,J,17 AUG 26,672,.01,B,.03,M,.03,C,0,.00,.00,129,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,55.96,D,59.55,N,17 AUG 26,673,.01,B,.03,M,.03,Q,0,.00,.00,92,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,54.96,D,58.55,P,17 AUG 26,674,.01,B,.03,I,.02,C,0,.00,.00,70,<empty>,,
,,58.93,I,0,.00,1.00,47,<empty>,53.96,D,57.55,P,17 AUG 26,675,.01,B,.03,E,.01,E,0,.00,.00,521,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,52.96,D,56.55,C,17 AUG 26,676,.01,B,.03,M,.01,E,0,.00,.00,571,<empty>,,
,,41.43,S,0,.00,1.00,12,<empty>,51.96,D,55.55,A,17 AUG 26,677,.01,B,.03,I,.03,B,0,.00,.00,147,<empty>,,
,,52.10,P,0,.00,1.00,0,<empty>,50.96,D,54.55,P,17 AUG 26,678,.01,B,.03,I,.03,D,0,.00,.00,195,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,49.96,D,53.55,A,17 AUG 26,679,.01,S,.03,E,.03,P,0,.00,.00,439,<empty>,,
,,49.25,C,0,.00,1.00,14,<empty>,48.97,C,52.58,Z,17 AUG 26,680,.01,I,.02,X,.02,I,0,.00,.00,"1,078",<empty>,,
,,0, ,0,.00,1.00,0,<empty>,47.96,D,51.57,N,17 AUG 26,681,.01,B,.03,I,.02,I,0,.00,.00,240,<empty>,,
,,50.91,W,0,.00,1.00,5,<empty>,46.97,N,50.55,P,17 AUG 26,682,.01,T,.03,J,.03,T,0,.00,.00,235,<empty>,,
,,42.34,A,0,.00,1.00,5,<empty>,45.97,N,49.56,P,17 AUG 26,683,.01,T,.03,W,.04,X,0,.00,.00,75,<empty>,,
,,47.24,C,0,.00,1.00,0,<empty>,44.97,D,48.57,N,17 AUG 26,684,.01,D,.03,W,.02,I,0,.00,.00,457,<empty>,,
,,45.74,A,0,.00,1.00,48,<empty>,43.97,D,47.57,N,17 AUG 26,685,.01,T,.03,W,.03,I,0,.00,.00,585,<empty>,,
,,44.78,A,0,.00,1.00,1,<empty>,42.97,D,46.55,Z,17 AUG 26,686,.01,W,.03,W,.03,B,0,.00,.00,51,<empty>,,
,,41.74,C,0,.00,1.00,2,<empty>,41.97,D,45.56,A,17 AUG 26,687,.01,W,.03,W,.02,A,0,.00,.00,109,<empty>,,
,,0, ,0,.00,1.00,0,<empty>,40.97,D,44.55,U,17 AUG 26,688,.01,W,.03,W,.04,P,0,.00,.00,198,<empty>,,
,,35.48,C,0,.00,1.00,2,<empty>,39.97,D,43.56,P,17 AUG 26,689,.01,W,.03,W,.03,A,0,.00,.00,501,<empty>,,
,,39.38,A,0,.00,1.00,56,<empty>,38.98,N,42.56,P,17 AUG 26,690,.01,W,.03,D,.02,B,0,.00,.00,"1,509",<empty>,,
,,0, ,0,.00,1.00,0,<empty>,37.98,N,41.55,C,17 AUG 26,691,.01,W,.03,D,.03,C,0,.00,.00,269,<empty>,,
,,38.17,S,0,.00,1.00,8,<empty>,36.98,N,40.56,P,17 AUG 26,692,.01,W,.03,D,.04,J,0,.00,.00,144,<empty>,,
,,22.09,B,0,.00,1.00,1,<empty>,35.98,D,42.65,T,17 AUG 26,693,.01,W,.03,H,.03,B,0,.00,.00,266,<empty>,,
,,36.91,A,0,.00,1.00,3,<empty>,34.98,D,38.56,C,17 AUG 26,694,.02,Q,.03,H,.03,A,0,.00,.00,414,<empty>,,
,,35.90,A,0,.00,1.00,34,<empty>,35.46,A,36.45,A,17 AUG 26,695,.02,H,.03,D,.05,A,0,.00,.00,"1,011",<empty>,,
,,33.51,I,0,.00,1.00,174,<empty>,33.68,A,35.45,A,17 AUG 26,696,.02,Q,.03,Q,.03,A,0,.00,-.01,260,<empty>,,
,,34.04,I,0,.00,1.00,11,<empty>,33.22,Z,34.45,Z,17 AUG 26,697,.02,D,.03,Z,.02,M,0,.00,-.01,560,<empty>,,
,,32.00,M,0,.00,1.00,2,<empty>,31.69,T,33.45,Z,17 AUG 26,698,.02,D,.04,J,.04,X,0,.00,-.01,362,<empty>,,
